"","ICD9CM.1","Age","pm2p5","pm2p5_5","pm2p5_10","n"
"320"," 42769",50.6666666666667,10.7483333333333,17.1571666666667,22.4212916666667,3
"321"," 42781",87,55.175,18.35375,13.704875,1
"322"," 42789",47.843137254902,13.9220784313725,14.3933008823529,15.149388627451,51
"323"," 4280",71.1875,19.42799296875,19.44453453125,17.625477421875,16
"324"," 4281",83,16.825,11.401525,13.4275175,1
"325"," 43411",85,19.3,22.3125,16.8445125,1
"326"," 43491",64,17.6208333333333,18.1958333333333,13.9789,3
"327"," 4359",67.2,8.702975,14.9504625,19.89663125,5
"328"," 4372",81,20.9375,43.2775,38.83875,1
"329"," 4377",63,12.0775,11.46755,8.8410375,1
"330"," 4423",78,8.18125,15.195,12.66125,1
"331"," 4430",81,3.53275,7.005825,7.4967375,1
"332"," 4439",72,8.485,11.3135,17.5485,1
"333"," 44422",48,4.5925,24.198975,29.3769875,1
"334"," 4476",67,4.17625,5.553525,5.6928875,1
"335"," 4510",71,0.298125,4.665225,7.7446125,1
"336"," 4512",63,3.23625,6.1381,10.6898,1
"337"," 45189",36,13.3875,10.674075,13.0732875,1
"338"," 4519",76,29.75,28.606,23.559625,1
"339"," 45340",76,9.30625,15.15125,13.4094125,1
"340"," 45341",61,8.5475,12.503075,15.2529125,1
"341"," 45342",63,36.39625,11.1043,10.880525,1
"342"," 4548",66,4.74875,9.599575,11.1426625,1
"343"," 4549",48.5,7.34925,8.956503125,11.6917265625,4
"344"," 4552",45,24.67775,16.407915,15.050245,5
"345"," 4553",29,10.1875,9.2842,10.80685,1
"346"," 4554",27.0714285714286,19.1805357142857,14.7212217857143,15.6895016964286,14
"347"," 4555",45.8,11.304475,11.871955,13.2396125,5
"348"," 4557",34.5,15.369375,11.4648875,11.5691375,2
"349"," 4558",49.8666666666667,12.5228616666667,18.4265531666667,15.6334499166667,15
"350"," 4564",22.5,13.895,16.139125,18.5807,2
"351"," 4571",73,4.25875,4.5185875,12.03741875,1
"352"," 4580",61.625,17.03515625,14.333659375,16.75806875,8
"353"," 45821",66,7.83625,7.6408,8.694,2
"354"," 4589",70.5,25.8684375,15.01918125,15.391971875,4
"355"," 45910",39,15.8725,13.866575,12.806325,1
"356"," 4592",28,14.56875,13.20475,13.1464125,1
"357"," 45981",62,20.55375,43.55825,29.122375,1
"358"," 45989",42,20.9204545454545,16.5947022727273,17.3343806818182,11
"359"," 460",19.6428571428571,17.3550446428571,16.4780160714286,15.8707316071429,14
"360"," 4610",50.6666666666667,12.2004166666667,17.5761958333333,20.9190520833333,3
"361"," 4611",30,10.12125,23.57425,21.290625,1
"362"," 4613",36.5,8.065,9.33969875,15.137036875,2
"363"," 4618",9,12.48125,9.691275,10.643825,1
"364"," 4619",20.7826086956522,15.9131956521739,14.8408658695652,16.288488423913,23
"365"," 462",24.1444444444444,15.1118549537037,15.0598297083333,14.9227938912037,540
"366"," 463",15.7545045045045,15.7014113175676,15.8820694313063,16.0206713091216,444
"367"," 46400",17.8571428571429,11.7193821428571,18.3442964285714,17.1177757142857,7
"368"," 46410",13,11.98625,15.2415,23.1875,1
"369"," 46420",5,9.83375,11.376525,12.2057675,1
"370"," 46430",23,6.02125,6.5289,12.065325,1
"371"," 4644",3.53424657534247,17.3150503424658,15.888482260274,16.1758719349315,73
"372"," 4658",14,26.2033333333333,23.9779291666667,20.5118191666667,6
"373"," 4659",19.8507462686567,15.9791956823028,16.6736668896589,16.3628886540512,938
"374"," 4660",25.6136363636364,16.2552926136364,16.4759484090909,15.3348154545455,44
"375"," 46619",0.521739130434783,15.2200902173913,16.5297773913043,18.1136913043478,23
"376"," 4738",44,18.47125,29.87675,23.59955,2
"377"," 4739",31.8055555555556,16.4858055555556,15.198075,15.5072745486111,36
"378"," 47400",32,18.525,17.66275,14.205375,1
"379"," 47412",8,4.46925,7.8881,13.322425,1
"380"," 475",16.3333333333333,11.37375,13.661025,12.006575,3
"381"," 4770",14,5.625,6.1137,9.454675,1
"382"," 4772",9,10.81125,13.48475,14.509375,1
"383"," 4779",27.5555555555556,14.8331944444444,13.0966138888889,11.9223041666667,9
"384"," 47819",19.0952380952381,15.0336738095238,14.5651517857143,14.629712297619,105
"385"," 47829",36,7.53375,44.823,30.4801125,1
"386"," 4786",45,14.735,8.260125,9.09135,1
"387"," 47879",67,6.64875,9.466,12.1210375,1
"388"," 4809",1,20.9775,13.21225,28.663625,1
"389"," 485",2.66666666666667,7.28958333333333,11.6493333333333,20.9178333333333,3
"390"," 486",24.8275862068966,16.0318820043103,15.3495790301724,15.6712779418103,116
"391"," 4871",13.9381443298969,15.7757216494845,14.4639825,14.0073211984536,97
"392"," 490",23.0281690140845,16.4609716549296,16.6698131690141,16.0373954225352,71
"393"," 49121",69.6166666666667,17.434670625,13.890058875,13.9586946458333,60
"394"," 4919",43,6.223875,9.814275,10.8648625,1
"395"," 49300",56,47.655,39.63275,25.262125,1
"396"," 49321",47,10.46125,9.95405,8.5591125,1
"397"," 49322",17,44.275,18.38975,14.78,1
"398"," 49382",5.33333333333333,2.87220833333333,12.8764333333333,16.7970958333333,3
"399"," 4939",11,7.16625,43.1135,29.959625,1
"400"," 49390",17.5703125,15.7632689453125,16.6617573242188,16.30816859375,128
"401"," 49392",17.7156398104265,14.730089514218,16.3613448459716,16.0809573341232,211
"402"," 4940",78,12.13125,13.5335,15.598125,1
"403"," 496",77,7.19875,11.13533375,14.058080625,4
"404"," 5063",48.5,26.953125,22.32975,25.8476275,2
"405"," 5070",56.3333333333333,12.0894166666667,10.2379783333333,9.11658916666667,3
"406"," 5110",26,22.4875,11.752915,12.8532075,1
"407"," 5119",68.3,15.4081375,16.62653225,14.122763625,10
"408"," 5128",21,6.905125,27.337325,22.62694375,2
"409"," 514",76,30.883125,13.247325,11.29248125,2
"410"," 51881",72,7.56875,12.41,14.02828,1
"411"," 51882",17,11.60625,10.07775,11.2904125,1
"412"," 51884",34,4.158625,9.139475,26.6768625,1
"413"," 51900",74,4.25875,4.5185875,12.03741875,1
"414"," 51909",80,5.55375,12.29375,11.1176125,1
"415"," 5192",34,14.79,6.8082,17.904975,1
"416"," 5198",14,16.8340625,12.9339596428571,13.5877003571429,14
"417"," 5207",0,15.67,11.596375,18.3353125,1
"418"," 52100",21,2.828825,7.382765,8.4490075,1
"419"," 52130",27,12.55,28.91,23.649875,1
"420"," 5225",32.4,21.99925,14.90181,13.225836,5
"421"," 52310",32.5,14.0480625,13.03774375,12.721909375,4
"422"," 52330",20,15.08,7.493775,7.0113375,1
"423"," 5238",37.5,17.41440625,20.38969375,16.2153465625,4
"424"," 52460",19,29.5625,31.1335,21.77175,1
"425"," 52462",48.7142857142857,14.0507678571429,19.5318178571429,16.9234521428571,7
"426"," 52464",34,16.7,15.45351,10.06978,1
"427"," 5259",24.5833333333333,14.415,21.0298979166667,17.0171720833333,12
"428"," 5264",7,7.59,11.27825,20.032875,1
"429"," 5269",34,12.9162321428571,15.8345571428571,14.4502642857143,7
"430"," 5271",11,13.64875,29.00175,20.98975,1
"431"," 5272",30.9,9.17389375,11.76160475,13.318951,10
"432"," 5273",35,22,10.103625,17.4688125,1
"433"," 5275",38.6666666666667,7.29259375,11.4530979166667,14.3032939583333,6
"434"," 5277",51,21.625,16.344625,14.45725625,2
"435"," 5278",25,12.65125,15.63,15.283875,1
"436"," 52800",22.6666666666667,6.58916666666667,6.754095,9.27458083333333,3
"437"," 5282",11.8888888888889,18.6433208333333,17.5366894444444,16.6394530555556,9
"438"," 5285",15,4.93829166666667,13.061425,12.7886541666667,3
"439"," 5289",30.5,9.32770833333333,8.28770375,9.00508104166667,6
"440"," 5290",32,28.738125,23.2102575,16.71987875,2
"441"," 5298",3,25.91125,16.43225,18.09965,1
"442"," 53010",23.8,14.748825,15.168314,13.569332,5
